GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianECEncodedParser,21,63,4,6,4,20,4,5,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianLMSEncodedParser,14,68,0,0,4,15,0,4,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianGOSTEncodedParser,13,45,2,2,2,14,2,4,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianPublicKey,0,9,0,0,0,4,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianNewHopeEncodedParser,0,17,0,0,0,6,0,3,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianSLHDSAEncodedParser,0,42,0,2,0,9,0,5,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairFactory,17,82,4,6,6,22,6,12,2,11
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianRSAEncodedParser,21,35,1,1,5,10,1,4,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianCMCEEncodedParser,0,42,0,2,0,9,0,5,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianFrodoEncodedParser,0,42,0,2,0,9,0,5,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianNTRUPlusEncodedParser,12,30,0,2,5,4,3,2,3,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianElGamalEncodedParser,8,49,1,1,2,13,1,6,0,6
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianXMSSEncodedParser,37,105,8,6,9,25,6,7,0,6
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianDHEncodedParser,42,70,5,3,7,17,4,6,0,6
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPair,39,89,9,13,9,21,10,9,1,7
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianXMSSMTEncodedParser,106,13,6,0,24,3,7,1,4,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianCompositeEncodedParser,14,88,0,4,4,23,0,6,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianEdwardsEncodedParser,0,47,0,0,0,11,0,4,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianPrivateKey,0,9,0,0,0,4,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCompositeKeyPair.GordianStateAwareCompositeKeyPair,54,4,6,0,18,2,5,1,2,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianHQCEncodedParser,0,42,0,2,0,9,0,5,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianBIKEEncodedParser,0,42,0,2,0,9,0,5,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCompositeKeyPair,19,127,7,11,7,32,8,11,1,9
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.keypair,GordianCoreKeyPairAlgId.GordianPicnicEncodedParser,0,42,0,2,0,9,0,5,0,4
