GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.convert,OceanusDataConverter,727,81,68,6,160,19,48,6,14,3
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.profile,OceanusProfile,193,0,28,0,54,0,28,0,14,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.profile,OceanusProfile.OceanusProfileStatus,22,0,2,0,4,0,3,0,2,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.logger,OceanusLogManager,11,0,0,0,4,0,3,0,3,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.logger,OceanusLogLevel,27,0,0,0,5,0,1,0,1,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.logger,OceanusLogEngine.OceanusLogStdOut,11,0,0,0,5,0,2,0,2,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.logger,OceanusLogEngine,137,0,14,0,41,0,15,0,8,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.logger,OceanusLogManager.OceanusLogManagerHelper,5,0,0,0,1,0,1,0,1,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.logger,OceanusLogger,143,0,0,0,34,0,9,0,9,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.format,OceanusDataFormatter,569,0,96,0,127,0,65,0,17,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.decimal,OceanusRate,83,23,0,0,25,8,10,4,10,4
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.decimal,OceanusPrice,101,14,4,0,26,5,10,2,8,2
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.decimal,OceanusDecimalParser,611,435,105,45,175,123,88,21,17,17
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.decimal,OceanusRatio,75,23,0,0,19,8,7,4,7,4
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.decimal,OceanusMoney,248,98,16,6,59,26,32,7,21,7
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.decimal,OceanusDecimal,516,609,67,35,136,153,71,40,31,29
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.decimal,OceanusUnits,35,10,0,0,11,5,6,2,6,2
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.decimal,OceanusDecimalFormatter,506,5,52,0,124,1,48,1,22,1
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.decimal,OceanusDecimalLocale,69,138,13,3,18,36,11,11,3,11
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.date,OceanusDateUtils,206,0,15,0,52,0,18,0,9,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.date,OceanusDateEvent,0,9,0,0,0,2,0,1,0,1
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.date,OceanusDateRangeState,585,0,67,0,168,0,72,0,37,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.date,OceanusDateResource,0,165,1,1,0,29,1,5,0,5
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.date,OceanusDateConfig,398,0,60,0,114,0,66,0,36,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.date,OceanusDate,371,113,36,8,103,33,52,9,30,9
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.date,OceanusFiscalYear,209,0,22,0,48,0,23,0,10,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.date,OceanusDateFormatter,162,72,25,3,45,19,24,5,10,5
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.date,OceanusDatePeriod,193,0,22,0,44,0,26,0,9,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.date,OceanusDateRange,286,0,70,0,87,0,49,0,14,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.base,OceanusSystem,60,0,6,0,16,0,7,0,4,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.base,OceanusLocale,2,16,1,1,1,6,1,3,0,3
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.base,OceanusException,46,0,0,0,18,0,6,0,6,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.resource,OceanusResourceLoader,68,0,4,0,21,0,5,0,3,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.resource,OceanusBundleLoader,15,74,2,4,4,17,2,5,1,3
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.event,OceanusEventManager,45,37,9,1,14,10,8,4,3,4
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.event,OceanusEventRegistration,76,0,10,0,22,0,14,0,9,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.event,OceanusEventRegistrar,89,32,4,0,24,8,8,2,6,2
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.event,OceanusEvent,39,0,0,0,14,0,8,0,8,0
Oceanus Java Core Utilities,io.github.tonywasher.joceanus.oceanus.exc,OceanusDataException,14,0,0,0,6,0,3,0,3,0
