GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.views,PrometheusViewerEntryId,68,0,2,0,13,0,3,0,2,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.views,PrometheusUIEvent,57,0,0,0,10,0,1,0,1,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.views,PrometheusEditEntry,191,0,28,0,72,0,28,0,10,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.views,PrometheusDataEvent,51,0,0,0,9,0,1,0,1,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.views,PrometheusDataControl,310,0,2,0,79,0,27,0,26,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.views,PrometheusEditSet,701,0,70,0,206,0,71,0,34,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.views,PrometheusViewResource,132,0,2,0,29,0,8,0,7,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusColumnDefinition.PrometheusReferenceColumn,270,0,12,0,69,0,12,0,6,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusColumnDefinition.PrometheusDateColumn,60,0,4,0,19,0,8,0,6,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusColumnDefinition.PrometheusBinaryColumn,56,0,2,0,18,0,7,0,6,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusTableDataItem,707,0,60,0,230,0,60,0,30,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusTableControlKeySet,75,0,4,0,20,0,7,0,5,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusColumnDefinition.PrometheusLongColumn,53,0,4,0,17,0,8,0,6,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusTableDataInfo,88,0,6,0,21,0,6,0,3,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusColumnDefinition.PrometheusMoneyColumn,61,0,4,0,19,0,7,0,5,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusTableControlKeys,74,0,4,0,20,0,7,0,5,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusBatchControl,97,0,12,0,28,0,12,0,6,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusColumnDefinition.PrometheusIdColumn,10,0,0,0,4,0,2,0,2,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusColumnDefinition.PrometheusRateColumn,81,0,4,0,24,0,7,0,5,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusDBResource,168,0,2,0,33,0,8,0,7,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusColumnDefinition.PrometheusIntegerColumn,53,0,4,0,17,0,8,0,6,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusTableControlData,74,0,4,0,20,0,7,0,5,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusJDBCDriver,257,0,60,0,86,0,49,0,12,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusTableDataKeySet,75,0,4,0,20,0,7,0,5,0
Prometheus Core Application Framework,io.github.tonywasher.joceanus.prometheus.database,PrometheusDatabase.PrometheusDatabasePreferenceKey,85,0,0,0,15,0,4,0,4,0
