GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.stats,ThemisUIStatsDocument,240,0,6,0,58,0,11,0,8,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.stats,ThemisUIStatsPanel,322,0,24,0,70,0,23,0,11,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.stats,ThemisUIStatsEntry,106,0,14,0,31,0,18,0,11,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectVar,0,19,0,0,0,5,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectClass,8,63,2,0,1,13,2,2,1,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectAnnotation,8,30,2,0,1,7,2,2,1,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectMemberUtils,7,85,0,6,2,12,0,4,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectRecord,59,0,2,0,12,0,4,0,3,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectMethod,0,55,0,0,0,11,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectExternal,10,79,0,0,4,24,4,9,4,9
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectJar,17,363,7,29,4,87,7,25,0,14
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectField,0,28,0,0,0,7,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectBaseUtils,0,160,0,8,0,31,0,17,0,13
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectConstructor,0,38,0,0,0,9,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectEnum,8,79,2,2,1,14,2,3,1,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectBaseUtils.ThemisReflectParameter,0,22,0,0,0,7,0,5,0,5
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.reflect,ThemisReflectUtils,0,286,0,32,0,67,0,28,0,12
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclAnnotation,17,62,0,0,6,14,6,5,6,5
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclRecord,109,0,0,0,26,0,14,0,14,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclClassInterface,13,120,1,3,4,26,5,14,4,13
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclField,3,29,0,0,1,7,1,3,1,3
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclConstructor,23,61,0,0,8,13,8,3,8,3
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclEnum,11,83,0,0,4,19,4,8,4,8
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisBaseDeclaration,0,13,0,0,0,4,0,2,0,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclAnnotationMember,9,25,0,0,3,5,3,1,3,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclEnumValue,9,32,0,0,3,7,3,2,3,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclInitializer,9,21,0,0,3,5,3,1,3,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclaration,5,111,1,3,1,18,1,4,0,3
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclMethod,29,73,0,0,9,15,9,4,9,4
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclCompact,75,0,0,0,19,0,10,0,10,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.decl,ThemisDeclParser,21,73,4,10,4,11,4,9,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.proj,ThemisSolverReference,19,40,1,1,4,8,5,5,4,5
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.proj,ThemisSolverReference.ThemisRefType,0,21,0,0,0,4,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.proj,ThemisSolverClass,22,127,2,6,8,31,8,13,6,11
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.proj,ThemisSolverProject,12,58,0,2,4,14,4,5,4,4
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.proj,ThemisSolverReference.ThemisSolverRefClass,15,23,0,0,5,8,5,2,5,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.proj,ThemisSolverPackage,146,274,33,17,37,64,34,25,16,18
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.proj,ThemisSolverReference.ThemisSolverRefPackage,9,43,0,0,3,14,3,6,3,6
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.proj,ThemisSolverFile,95,228,17,15,26,50,18,21,9,14
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.proj,ThemisSolverMethod,8,18,0,0,3,7,3,2,3,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.solver.proj,ThemisSolverModule,24,158,4,10,6,36,7,12,5,7
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser,ThemisParser,90,271,7,13,18,74,7,24,1,20
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtIf,9,26,0,0,3,5,3,1,3,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtParser,33,131,5,19,5,20,5,18,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtExpression,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtContinue,5,20,1,1,1,4,2,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtThrow,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtRecord,14,0,0,0,4,0,2,0,2,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtForEach,9,23,0,0,3,5,3,1,3,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtSwitch,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtTry,12,32,0,0,4,6,4,1,4,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStatement,5,181,1,3,1,28,1,4,0,3
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtEmpty,0,5,0,0,0,2,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtClass,14,0,0,0,4,0,2,0,2,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtBlock,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtReturn,3,14,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtLabeled,22,0,0,0,6,0,3,0,3,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtYield,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtSynch,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisBaseStatement,0,13,0,0,0,4,0,2,0,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtBreak,5,20,1,1,1,4,2,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtWhile,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtAssert,26,0,0,0,6,0,3,0,3,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtConstructor,9,29,0,0,3,5,3,1,3,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtFor,12,32,0,0,4,6,4,1,4,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.stmt,ThemisStmtDo,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.launch,ThemisApp,37,0,0,0,7,0,6,0,6,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.launch,ThemisUIMenuId,36,0,0,0,8,0,3,0,3,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.launch,ThemisUIData,30,0,0,0,13,0,8,0,8,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.launch,ThemisUIThread,65,0,0,0,18,0,4,0,4,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.launch,ThemisUIIcon,47,0,0,0,10,0,4,0,4,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.launch,ThemisUIMainPanel,584,0,22,0,128,0,32,0,21,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.source,ThemisUISourcePackageSelect,324,0,36,0,76,0,34,0,16,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.source,ThemisUISourceModuleSelect,163,0,12,0,39,0,15,0,9,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.source,ThemisUISourceIcon,869,0,93,0,187,0,97,0,10,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.source,ThemisUISourceDocument,21,0,0,0,7,0,2,0,2,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.source,ThemisUISourcePanel,229,0,10,0,57,0,13,0,8,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.source,ThemisUISourceFileSelect,155,0,12,0,37,0,15,0,9,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.gui.source,ThemisUISourceEntry,511,0,114,0,139,0,119,0,18,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.base,ThemisDataResource,0,357,0,2,0,57,0,7,0,6
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.base,ThemisParserDef,10,164,5,19,5,43,5,13,0,6
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.base,ThemisInstance.ThemisClassInstance,14,6,0,0,7,3,7,3,7,3
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.base,ThemisInstance,30,0,0,0,5,0,5,0,5,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.base,ThemisBaseInstance,31,97,4,8,8,23,5,10,3,6
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.base,ThemisInstance.ThemisMethodInstance,8,0,0,0,4,0,4,0,4,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.mod,ThemisModOpens,23,0,0,0,6,0,3,0,3,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.mod,ThemisModRequires,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.mod,ThemisBaseModule,3,10,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.mod,ThemisModUses,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.mod,ThemisMod,5,100,1,3,1,13,1,4,0,3
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.mod,ThemisModExports,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.mod,ThemisModModule,9,23,0,0,3,5,3,1,3,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.mod,ThemisModParser,14,44,3,6,3,7,3,5,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.mod,ThemisModProvides,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprCharLit,0,5,0,0,0,2,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprObjectCreate,29,49,0,2,11,9,9,2,9,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprArrayInit,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprSuper,0,5,0,0,0,2,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprAssign,9,21,0,0,3,5,3,1,3,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprInstanceOf,12,35,0,0,4,6,4,1,4,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprAnonClass,18,166,10,16,6,40,10,7,0,4
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprBooleanLit,0,5,0,0,0,2,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprArrayCreation,12,32,0,0,4,6,4,1,4,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprMethodCall,23,38,0,0,9,7,7,2,7,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprStringLit,0,5,0,0,0,2,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprConditional,9,23,0,0,3,5,3,1,3,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExpression,5,279,1,3,1,42,1,4,0,3
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprThis,3,14,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprMarkerAnnotation,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprUnary,6,15,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprPattern,0,14,0,0,0,4,0,2,0,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprName,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprNullLit,0,5,0,0,0,2,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisBaseExpression,0,13,0,0,0,4,0,2,0,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprTextBlockLit,5,0,0,0,2,0,1,0,1,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprBinary,9,21,0,0,3,5,3,1,3,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprIntegerLit,0,5,0,0,0,2,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprMethodRef,6,27,0,0,2,6,2,2,2,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprFieldAccess,6,29,0,0,2,6,2,2,2,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprRecordPattern,23,0,0,0,6,0,3,0,3,0
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprLambda,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprArrayAccess,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprParser,26,236,4,34,4,35,4,33,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprClass,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprSingleMemberAnnotation,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprVarDecl,9,23,0,0,3,5,3,1,3,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprSwitch,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprTypePattern,3,20,0,0,1,5,1,2,1,2
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprEnclosed,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprLongLit,0,5,0,0,0,2,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprCast,6,17,0,0,2,4,2,1,2,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprType,3,11,0,0,1,3,1,1,1,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprDoubleLit,0,5,0,0,0,2,0,1,0,1
Themis Core Project Framework,io.github.tonywasher.joceanus.themis.parser.expr,ThemisExprNormalAnnotation,23,0,0,0,6,0,3,0,3,0
